{W5J1-T3HU75MT-0778CUPF},2010-01-04 08:27:32.0,MUT0603,Ahmed.Quinlan.Melton@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,22828,0
{O0T0-I8QE14MQ-6204JERM},2010-01-04 14:37:19.0,MUT0603,Darius.Colt.Bowen@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,23398,2
{N5T6-V4NB92QQ-0515CHEY},2010-01-04 16:34:11.0,MUT0603,Joel.Brenden.Vasquez@dtaa.com;Dalton.Declan.Drake@netzero.com,,,McKenzie.Unity.Tran@dtaa.com,,22069,0
{L9M9-C9XK89BW-7057AERY},2010-01-05 10:46:22.0,MUT0603,Dana.Inga.Leach@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,34817,1
{M7S8-U9CZ76IK-3402XBBR},2010-01-05 13:15:49.0,MUT0603,Kendall.Imani.Lancaster@dtaa.com;Hermione.Quynn.Cross@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,21124,0
{S9S1-M9SO81AN-2418ALYR},2010-01-05 14:11:19.0,MUT0603,Price.Abel.Morrison@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,21232,0
{S0D9-E4KE58BP-8851SDQO},2010-01-06 07:29:23.0,MUT0603,Joel.Brenden.Vasquez@dtaa.com;Karleigh.Gemma.Morales@dtaa.com;Libby.Bell.Willis@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,31060,4
{L7R0-M1RT08GH-6071PQPN},2010-01-06 09:50:41.0,MUT0603,Hilary.Fiona.Frederick@charter.net,,,McKenzie.Unity.Tran@dtaa.com,,42409,0
{U5B0-A0IA88JT-1313JAQO},2010-01-06 13:21:13.0,MUT0603,Raphael.Keith.Stephens@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,30045,0
{B4G3-O3TM08QS-0705RFSM},2010-01-07 07:29:03.0,MUT0603,Kendall.Imani.Lancaster@dtaa.com;Chantale.Brenda.Boone@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,29799,1
{X9Q5-G2CL71SX-4247QYWU},2010-01-07 12:08:03.0,MUT0603,Leigh.Ina.Merrill@dtaa.com;Nicolas.Gavin.Farrell@dtaa.com;Jackson.Theodore.Sharp@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,23182,0
{S5X4-F3ZZ56YS-6327RHJE},2010-01-07 16:15:42.0,MUT0603,Leigh.Ina.Merrill@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,30307,0
{A9I0-D5UL92TO-7416QONZ},2010-01-08 11:50:08.0,MUT0603,Jackson.Theodore.Sharp@dtaa.com;Hilary.Fiona.Frederick@charter.net,,,McKenzie.Unity.Tran@dtaa.com,,35299,1
{C6G3-Y3GA69LR-7624CJGE},2010-01-08 17:01:03.0,MUT0603,Kathleen.Audrey.Vargas@dtaa.com;Kendall.Imani.Lancaster@dtaa.com;Chantale.Brenda.Boone@dtaa.com;Nelle.Jade.Mcdowell@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,53799,3
{W0R5-B2PC05XA-0208SADG},2010-01-08 17:49:00.0,MUT0603,Nicolas.Gavin.Farrell@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,25510,0
{F3G6-Q2XY15GQ-1766TPSS},2010-01-11 11:25:04.0,MUT0603,Nicolas.Gavin.Farrell@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,55493,0
{V1A9-E6LP93AK-2097NUBJ},2010-01-11 14:52:14.0,MUT0603,Darius.Colt.Bowen@dtaa.com;Dana.Inga.Leach@dtaa.com;Dalton.Declan.Drake@netzero.com,,,McKenzie.Unity.Tran@dtaa.com,,16010,1
{C3L5-B1SZ37AD-5667POWT},2010-01-12 09:55:04.0,MUT0603,Amethyst.Suki.Norris@dtaa.com;Dane.Bert.Mcfadden@dtaa.com;Nicolas.Gavin.Farrell@dtaa.com;Libby.Bell.Willis@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,28779,0
{N3I4-W7TZ30IP-9173KZZN},2010-01-12 10:01:54.0,MUT0603,Olga.Jane.Bonner@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,25121,0
{P4T0-O7FB17AE-5490NWJB},2010-01-12 12:28:30.0,MUT0603,Wyatt.Aristotle.Romero@dtaa.com;William.Abel.Wiley@dtaa.com;Kyle.Ashton.James@dtaa.com;Dalton.Declan.Drake@netzero.com,,,McKenzie.Unity.Tran@dtaa.com,,33987,3
{N1U4-F6GD81WK-3496JFUW},2010-01-13 09:57:39.0,MUT0603,Thomas.Reed.Huber@comcast.net,,,McKenzie.Unity.Tran@dtaa.com,,27023,0
{Y2O3-F6EF32ZF-2022UBPW},2010-01-13 17:13:41.0,MUT0603,Dalton.Declan.Drake@netzero.com,,,McKenzie.Unity.Tran@dtaa.com,,23160,0
{F3R5-L5HI96JY-1206IOTN},2010-01-14 07:21:58.0,MUT0603,Noelani.Rebekah.Farmer@dtaa.com;Tanisha.Chelsea.Preston@dtaa.com;Leigh.Ina.Merrill@dtaa.com;William.Abel.Wiley@dtaa.com;Amethyst.Suki.Norris@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,24467,0
{K9T1-O6AO50UR-7580LJHX},2010-01-14 07:48:02.0,MUT0603,Hilary.Fiona.Frederick@charter.net,,,McKenzie.Unity.Tran@dtaa.com,,24524,0
{E5R1-H6YM34CI-8718SZCL},2010-01-14 08:48:33.0,MUT0603,Karleigh.Gemma.Morales@dtaa.com,,,McKenzie.Unity.Tran@dtaa.com,,14719,0
